date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:44:16	122189/122189	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:15%20GMT	https://laravel.pixelstrap.com/viho/dashboard	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/dashboard.html	(from )
08:44:17	31/31	---M--	200	added ('OK')	text/plain	etag:%221c58882-1f-5878525415792%22	https://laravel.pixelstrap.com/robots.txt		(from )
08:44:17	1337/1337	---M--	200	added ('OK')	image/png	etag:%222d20d4b-539-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/images/favicon.png	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/images/favicon.png	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:17	36706/36706	---M--	200	added ('OK')	text/css	etag:%222d206c5-8f62-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/fontawesome.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/fontawesome.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:17	112789/112789	---M--	200	added ('OK')	text/css	etag:%222d206c6-1b895-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/icofont.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/icofont.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:17	21910/21910	---M--	200	added ('OK')	text/css	etag:%222d206dd-5596-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/themify.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/themify.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:18	42130/42130	---M--	200	added ('OK')	text/css	etag:%222d206c4-a492-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/flag-icon.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/flag-icon.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:18	2806/2806	---M--	200	added ('OK')	text/css	etag:%222d206c3-af6-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/feather-icon.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/feather-icon.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:18	87892/87892	---M--	200	added ('OK')	text/css	etag:%222d206b2-15754-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/animate.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/animate.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:18	13608/13608	---M--	200	added ('OK')	text/css	etag:%222d206b7-3528-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/chartist.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/chartist.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:18	10444/10444	---M--	200	added ('OK')	text/css	etag:%222d206c0-28cc-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/date-picker.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/date-picker.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:19	3827/3827	---M--	200	added ('OK')	text/css	etag:%222d206cf-ef3-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/prism.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/prism.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:19	6634/6634	---M--	200	added ('OK')	text/css	etag:%222d206e2-19ea-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/vector-map.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/vector-map.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:19	239588/239588	---M--	200	added ('OK')	text/css	etag:%222d206b4-3a7e4-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/bootstrap.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/bootstrap.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:20	1147880/1147880	---M--	200	added ('OK')	text/css	etag:%222d206d9-1183e8-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/style.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/style.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:20	0/0	---M--	200	added ('OK')	text/css	etag:%222d206b8-0-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/color-1.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/color-1.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:20	103651/103651	---M--	200	added ('OK')	text/css	etag:%222d206d2-194e3-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/css/responsive.css	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/css/responsive.css	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:21	3227187/3227187	---M--	200	added ('OK')	image/png	etag:%222d20e61-313e33-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/images/logo/logo.png	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/images/logo/logo.png	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:21	3820/3820	---M--	200	added ('OK')	image/jpeg	etag:%222d20ec6-eec-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/images/user/4.jpg	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/images/user/4.jpg	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:21	22732/22732	---M--	200	added ('OK')	image/jpeg	etag:%222d20ebc-58cc-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/images/user/1.jpg	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/images/user/1.jpg	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:21	3227972/3227972	---M--	200	added ('OK')	image/png	etag:%222d20e5e-314144-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/images/logo/dark-logo.png	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/images/logo/dark-logo.png	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:21	5459/5459	---M--	200	added ('OK')	image/jpeg	etag:%222d20ec2-1553-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/images/user/2.jpg	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/images/user/2.jpg	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:21	1915/1915	---M--	200	added ('OK')	image/png	etag:%222d20db0-77b-5cb9b3a0f3d80%22	https://laravel.pixelstrap.com/viho/assets/images/dashboard/1.png	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/assets/images/dashboard/1.png	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:22	6609/6609	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2001:44:21%20GMT	https://laravel.pixelstrap.com/viho/user-profile	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/user-profile	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:22	133474/133474	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:21%20GMT	https://laravel.pixelstrap.com/viho/dashboard/dashboard-02	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/dashboard/dashboard-02.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:22	146793/146793	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:21%20GMT	https://laravel.pixelstrap.com/viho/widgets/general-widget	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/widgets/general-widget.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:22	72167/72167	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:22%20GMT	https://laravel.pixelstrap.com/viho/widgets/chart-widget	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/widgets/chart-widget.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:23	64624/64624	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:22%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/state-color	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/state-color.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:23	73415/73415	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:23%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/typography	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/typography.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:24	65876/65876	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:23%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/avatars	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/avatars.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:24	76792/76792	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:23%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/helper-classes	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/helper-classes.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:24	69806/69806	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:23%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/grid	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/grid.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:24	63903/63903	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:23%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/tag-pills	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/tag-pills.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:24	70151/70151	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:24%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/progress-bar	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/progress-bar.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:25	81107/81107	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:24%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/modal	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/modal.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:25	93992/93992	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:24%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/alert	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/alert.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:25	58773/58773	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:24%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/popover	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/popover.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:25	59920/59920	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:24%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/tooltip	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/tooltip.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:25	65472/65472	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:25%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/loader	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/loader.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:26	71925/71925	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:25%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/dropdown	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/dropdown.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:26	89985/89985	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:25%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/according	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/according.html	(from https://laravel.pixelstrap.com/viho/dashboard)
08:44:26	122344/122344	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2001:44:25%20GMT	https://laravel.pixelstrap.com/viho/ui-kits/tab-bootstrap	D:/Project/Scomptec/1.%20Tampilan/Template%202%20Sela/laravel.pixelstrap.com/viho/ui-kits/tab-bootstrap.html	(from https://laravel.pixelstrap.com/viho/dashboard)
